epoch,loss
1,8.856492041157606
2,7.989325776663506
3,7.854495398041514
4,7.808473526583429
5,7.797958448146351
6,7.789220672053053
7,7.784281465956096
8,7.782998926094267
9,7.783036794633447
10,7.778478954808258
11,7.780509179418336
12,7.7789054876208565
13,7.779169947510187
14,7.780713082574993
15,7.779506829637727
16,7.7778161600018
17,7.780626015357002
18,7.778259357508559
19,7.780757655086155
20,7.775615823980248
21,7.780583879113442
22,7.777659267817889
23,7.778901314764103
24,7.777790148057207
25,7.779349072517724
26,7.779253316312077
27,7.779055235584535
28,7.7807623571994124
29,7.774867417242418
30,7.779783121582774
