word,x,y
<UNK>,0.70751375,2.6432602
say,-8.142395,0.90358114
first,3.8659313,-3.0079706
test,0.9888365,-6.2433367
team,-1.733292,0.3168837
match,1.40982,-1.8662443
cricket,-7.642164,-4.551236
england,2.625302,-5.8532915
pakistan,-5.3048496,-5.574366
play,-0.04139562,0.31958345
world,-1.857704,-0.45282316
two,5.607048,-5.2037716
run,6.2161546,-8.01311
make,1.649874,0.26858494
ball,8.962412,-7.2940307
take,4.3428354,-4.186741
wicket,7.7930517,-10.662842
one,1.2898107,0.63840127
captain,1.0953308,-15.83363
second,5.4698186,-2.1330862
four,7.5553365,-6.8758106
last,4.0514383,-0.11503376
three,6.067275,-5.533836
player,-5.910771,1.7414774
win,6.1288934,0.3136063
also,-2.6066597,-0.26709363
year,-2.8116198,1.211094
game,0.7688624,3.3570492
new,0.54519856,-3.7755618
india,-2.585417,-7.3407426
time,0.6543742,3.5797005
get,1.5087521,5.259126
international,-2.747309,-3.2403822
six,7.4857473,-7.0789747
series,1.8765116,-6.1340666
go,1.1698511,4.8568687
score,7.1285577,-6.172196
final,6.73376,0.6125515
would,-7.495935,1.4084289
day,2.3118184,-2.7602465
come,1.4508127,2.7471273
well,0.5033209,6.551828
sri,1.9043456,-7.95174
australia,0.22737594,-4.9439526
bowler,6.367048,-13.804889
good,0.32007644,6.025767
side,2.6805513,-0.091538005
start,2.7092555,0.66636515
back,2.5386963,1.8597174
lanka,2.5768485,-8.341633
give,1.3624023,1.3439965
south,2.1985023,-10.318931
twenty,-2.9073765,-8.584311
mohammad,-1.4869456,-20.543285
tournament,1.7972621,1.6961701
cup,7.5797796,1.7475921
zealand,4.561752,-9.048141
five,5.9607754,-6.2819233
lead,4.616824,-1.507314
lose,5.1708355,-2.1605885
west,-0.82736087,-8.787009
could,1.0839874,2.6679869
third,4.4212976,-6.5000253
ali,-2.1516616,-19.237463
set,6.0709944,-0.9897771
see,1.3700396,1.463811
khan,-3.0796313,-18.390625
amir,-7.7312765,-9.458828
not,-0.11115637,8.574199
th,5.833279,-1.0683622
bowl,4.6809945,-5.340151
innings,6.613352,-8.128593
early,3.8131557,-1.5215154
yearold,-1.8845854,3.0761096
africa,2.370697,-10.212024
top,0.02611117,-0.12061009
end,3.3597896,1.9373361
batsman,4.700731,-11.091857
add,1.2325433,2.4119952
bat,-2.2334924,-12.839901
home,1.3816047,1.2986807
indie,-0.61256033,-8.870264
tell,-7.8163605,2.274527
open,14.157953,1.407031
leave,3.0469906,1.7193408
over,7.585066,-10.514255
champion,10.318672,1.7144417
board,-12.174813,-4.5852923
victory,5.197337,-1.396095
group,6.2381926,1.5404629
coach,-4.6573954,1.368633
league,-3.5849195,1.6211163
look,0.91680014,5.1107864
former,-10.152262,-6.159435
since,4.6188173,0.48109126
united,-1.3646991,0.8439787
catch,11.698999,-8.662879
include,-1.1907076,-2.2662113
next,2.794208,-0.71461004
follow,1.9079506,-1.1428835
return,-7.2092505,-8.383639
need,2.0769475,4.064528
tour,-0.09484051,-6.940521
host,0.8863427,-2.1046445
title,11.204016,1.3230702
do,0.025539767,7.9758487
goal,7.928874,6.510891
icc,-11.306738,-2.317632
place,-0.24183932,-1.3619928
de,3.5213485,-12.598146
minute,9.41446,7.7917047
help,2.9481435,-4.1626954
beat,7.670356,0.9379763
hit,8.757706,-5.4477677
fast,6.217203,-14.074574
month,-8.067304,-1.5671209
stadium,-3.82808,-9.94605
number,10.921619,2.3953228
reach,5.266853,-3.7224956
put,2.3447785,0.28179288
become,2.4812994,-3.460944
sport,-8.920519,2.497319
like,-0.30297938,5.3029027
great,-0.65153915,6.7430162
point,6.684772,4.09836
week,-7.06983,0.85722643
record,5.2606363,-0.8185755
bangladesh,-2.4315445,-8.070404
national,-6.4372597,-6.1272726
face,0.5726339,-0.108430706
indian,-9.197909,-5.9460196
defeat,8.5247965,0.9260564
hope,1.9110533,1.4489497
seven,7.3032045,-7.1693416
think,-0.86936605,8.043296
ban,-9.271378,-3.6106293
show,-0.39036596,4.0647354
want,-1.235058,7.033599
work,-1.2714458,7.308019
fourth,5.641413,-3.0289311
eight,5.221888,-5.4043837
big,0.34207982,1.1039754
man,0.7059217,0.37469292
hold,0.5590161,1.6405885
head,-5.2484455,0.98332876
we,-0.058532488,7.8656435
injury,4.0901012,0.37563947
opener,8.985879,-7.1855655
squad,-3.8407226,-5.052886
know,-0.19241555,6.9361115
olympic,-15.418053,7.669177
bring,2.3140981,-0.94767463
fall,6.4919624,-4.7123528
country,-6.5297937,2.5780592
opening,4.6356273,-3.5061395
toss,-2.6305566,-12.951843
break,12.992813,6.0938025
pcb,-13.208559,-5.557387
stand,6.093689,-7.4257555
remain,7.68283,-6.862666
chance,4.021812,3.6357524
high,-0.22937733,-1.5066077
another,6.347534,-2.6594234
keep,3.8473148,3.3544362
way,0.51756054,3.1349404
target,-2.0807316,-10.755124
cook,1.6401026,-13.752662
claim,6.0358057,-5.3885336
finish,6.635405,2.7304082
long,1.9015735,4.949978
fan,-9.61851,11.04595
later,2.2106512,-1.1363932
still,2.2981114,3.367721
club,-5.8393326,2.9303663
spinner,7.1365604,-14.382968
sunday,1.2528504,-1.8779509
century,4.9845295,-6.6184154
bowling,6.258977,-13.656622
lot,0.5344978,7.049768
total,5.0450153,-8.054306
friday,-13.020177,12.929472
james,5.2843804,-16.468472
miss,3.907551,0.46887448
right,-3.9585304,8.719274
australian,13.337862,1.932163
attack,2.6442847,0.85816455
oneday,1.1167516,-6.44965
s,-1.6355687,9.057197
super,-3.547293,-12.074366
unbeaten,7.335362,-8.297214
batting,1.8251765,-3.7577078
million,-7.159816,5.3651943
strike,7.9414954,-3.7488306
pakistans,-5.6331105,-7.929538
much,0.45046565,5.1574926
shah,-2.1562173,-16.751362
report,-8.217616,-0.9239608
feel,-0.03410878,6.3238845
change,1.7019949,-0.089947954
delivery,11.6816025,-7.915472
performance,-2.0683439,-0.10284136
afridi,-2.8997958,-20.370611
ahmed,-2.2614737,-19.79025
thursday,-14.231251,12.886912
round,12.92965,0.62303555
dismiss,6.19871,-6.983638
ahead,0.767201,-0.41644168
