epoch,loss
1,6.930930337598247
2,4.776536375818287
3,3.38886963765681
4,2.446940071551461
5,1.8564191078199708
6,1.4820193370610582
7,1.2311339292190124
8,1.0571717771578006
9,0.9329014368524403
10,0.8348013460280078
11,0.7592636926128588
12,0.6960874986762499
13,0.649878953164054
14,0.6065941572616604
15,0.5740848954148332
16,0.5395262691780942
17,0.516669849946365
18,0.493170105926737
19,0.47460233896365445
20,0.46418457698152626
21,0.4465127430117401
22,0.4318188123912367
23,0.41544102794594234
24,0.4042513575071075
25,0.39852981297844486
26,0.39073684845417916
27,0.3822903663382878
28,0.3714626842359773
29,0.3645761621895657
30,0.3613590142882141
31,0.354656151091967
32,0.35171411431248756
33,0.34006416673906675
34,0.33621592636319186
35,0.33414586443841243
36,0.32832592423101764
37,0.32140897829508414
38,0.3215748962802699
39,0.3203447823153459
40,0.3153445256991911
41,0.30203582779053717
42,0.2973406459588731
43,0.307909770705153
44,0.3033486452118328
45,0.2939464013084431
46,0.29488237904498227
47,0.29763700943017374
48,0.28470885877362856
49,0.28420030424458154
50,0.28380272152033614
