word,x,y
<UNK>,1.7076432,1.3660127
say,4.424415,8.745941
first,3.4526641,-5.7061973
test,6.2008915,-3.7551608
team,5.2781897,3.3288136
match,4.4878254,-3.5789185
cricket,8.185692,4.978498
england,4.4707265,-2.8127236
pakistan,7.634192,2.521798
play,4.4887333,1.9510784
world,11.107505,-8.977475
two,-4.0774393,-4.4786124
run,-9.671652,-4.553818
make,-1.0825598,-0.6537425
ball,-9.325586,-6.7029366
take,-0.011978385,-0.13480344
wicket,-11.823413,-4.0013137
one,2.296188,-3.4362767
captain,-14.241087,4.480562
second,2.6220806,-6.7047405
four,-7.284308,-6.5442824
last,4.48331,-1.3034803
three,-6.4253664,-5.861842
player,4.1926665,6.3930264
win,5.7713804,-6.7947483
also,3.5036376,2.4764585
year,4.8246512,-0.63892245
game,4.1662774,0.7150082
new,9.252258,0.6007334
india,7.972438,0.30013278
time,1.4128565,-1.4484636
get,-0.7716364,2.8379867
international,9.667095,2.3418057
six,-7.602665,-6.1748033
series,7.1319594,-3.656077
go,0.41535813,4.4166765
score,-5.938693,-7.5706706
final,6.0472016,-8.287613
would,5.6955566,7.3149395
day,1.133832,-4.697418
come,1.0326891,2.2911427
well,-0.32930356,4.087941
sri,-24.459229,-9.517449
australia,7.1171236,-2.1884778
bowler,-16.15205,0.06994017
good,0.6878621,3.9974637
side,2.9247344,-1.9420544
start,2.251892,-4.3869348
back,-2.5927067,-0.742174
lanka,-24.224897,-9.53578
give,-0.2060425,1.5161207
south,9.111247,-1.9834375
twenty,13.04888,-1.613617
mohammad,-20.70838,9.070184
tournament,6.7942085,0.63717765
cup,14.129922,-3.609718
zealand,9.601038,-0.10614185
five,-6.893494,-5.6879897
lead,2.6435049,-3.9231231
lose,2.0890954,-2.5682998
west,7.7862477,-1.5099014
could,0.29501393,1.6421286
third,2.0453024,-7.141633
ali,-18.612389,10.406523
set,3.297797,-8.827468
see,2.1725438,2.34205
khan,-19.357916,11.7560215
amir,-13.796779,9.8582325
not,-2.4180388,6.9477525
th,2.3733592,-8.402609
bowl,-12.745014,-0.9858301
innings,-10.1444845,-5.1748495
early,-0.09881179,-3.5373225
yearold,-0.115432166,-1.6986378
africa,9.621123,-1.8954242
top,9.973168,-7.239464
end,-2.9494462,-4.952419
batsman,-16.053799,2.2577252
add,-0.5036983,0.9075532
bat,-13.215989,3.5286105
home,6.260853,-1.4654282
indie,7.8521466,-1.4955047
tell,3.3198082,11.302826
open,7.101404,-12.688218
leave,-3.2172942,-1.7414099
over,-10.122649,-3.9925375
champion,10.777218,-11.496803
board,7.9103203,20.433199
victory,4.5732007,-7.766955
group,8.881853,-8.259635
coach,3.4513457,27.558157
league,11.450178,0.88010186
look,0.85026747,3.0551329
former,-3.2652166,19.867037
since,3.966757,-3.8033638
united,6.164784,-21.01179
catch,-15.4773855,-9.787196
include,3.0861783,0.46743038
next,3.6435742,-0.46223864
follow,2.1996462,-0.34852067
return,4.566768,-2.1286314
need,0.05369113,3.3519773
tour,7.111542,-2.6134229
host,3.9361205,-6.8206434
title,10.332592,-11.547598
do,-2.4878895,6.363062
goal,-1.1522874,-17.22035
icc,10.339074,18.54568
place,7.8737764,-7.492938
de,-18.411943,-3.9494648
minute,-3.1235065,-15.461537
help,1.7983985,0.044971332
beat,6.500734,-9.728522
hit,-8.120792,-7.0997095
fast,-15.372139,0.12946628
month,4.7293086,-0.5412111
stadium,13.553249,0.25293383
number,9.00176,-11.227286
reach,5.3411865,-10.340775
put,-6.0120516,-2.7532191
become,2.1216054,-0.9184709
sport,11.830546,11.7012205
like,-0.7250321,5.2074094
great,3.0891128,6.171817
point,3.2957733,-10.427946
week,3.7555025,-0.71439284
record,4.234762,-8.991684
bangladesh,11.757437,-1.523762
national,7.3679743,7.8755517
face,7.554078,-8.599998
indian,-3.6151395,25.609142
defeat,6.379923,-8.893057
hope,1.7401867,4.2563605
seven,-7.427843,-5.9860716
think,-1.3882262,7.1869287
ban,18.715403,17.725677
show,1.7945588,4.652091
want,1.4447957,8.350015
work,-0.18861085,4.491305
fourth,2.3738902,-7.5418386
eight,-7.3687134,-5.7666388
big,2.6193478,3.0985806
man,2.9644127,1.0112864
hold,2.2568972,-0.035131942
head,-2.1437268,-9.483929
we,-1.6836594,4.265392
injury,-3.760086,-1.787083
opener,-12.171875,-5.5263414
squad,-7.1688285,5.596112
know,-1.7656982,6.5962987
olympic,18.118263,5.4173193
bring,-0.7400138,-0.17515819
fall,-13.801874,-10.718372
country,5.9700875,3.7995102
opening,1.5911208,-7.525544
toss,-13.950993,4.3252487
break,4.0157814,-13.185572
pcb,7.227921,21.68211
stand,-10.960563,-5.7807813
remain,6.2463193,2.2587497
chance,0.51397586,-9.071879
high,2.4166887,0.36422664
another,-1.5498773,0.29626933
keep,1.3187947,1.2182431
way,-0.39979786,3.2660131
target,3.9488606,-8.852454
cook,-11.842616,3.9247618
claim,-15.423918,-1.9044067
finish,-4.157106,-6.4674706
long,1.9029313,1.9297997
fan,12.601467,5.856198
later,-2.7192476,-6.2241344
still,-0.37275636,3.0012317
club,10.894327,8.805255
spinner,-18.150076,0.13476367
sunday,5.9275107,-7.632852
century,-9.774053,-5.701034
bowling,-13.267898,-0.49425164
lot,-0.20271562,6.466892
total,-8.218189,-3.9671936
friday,0.82955986,-3.9599977
james,-18.853989,-7.7201476
miss,0.6420531,-2.0036142
right,0.4834707,2.6890132
australian,7.9900656,-13.043324
attack,-2.4552016,0.07825891
oneday,8.087139,-3.9736364
s,-1.5628814,8.532575
super,13.364476,-1.8126109
unbeaten,-9.138796,-6.252336
batting,3.6606467,3.3860836
million,12.017203,9.451737
strike,-7.082893,-8.0571575
pakistans,7.9214363,-0.10423776
much,-0.38569444,4.185319
shah,-16.269474,10.221606
report,9.082927,16.06637
feel,-1.1391963,6.306816
change,-6.5383983,6.602903
delivery,-12.786415,-9.743283
performance,6.796227,3.0382457
afridi,-18.009668,7.5585103
ahmed,-19.986008,8.423047
thursday,2.225534,0.30988953
round,7.6024284,-10.719307
dismiss,-11.781226,-4.8143744
ahead,2.3799858,0.5986349
try,0.8769483,4.9841213
season,14.221938,-15.182494
career,0.2130811,-1.7711724
root,-17.274471,-7.6352563
behind,-9.370477,-10.559265
lord,6.5481234,-3.5118597
decision,9.374564,16.931465
chase,-10.733978,-5.081311
part,7.430995,6.9738264
move,1.5721452,-2.5408232
close,-1.0917041,-0.7622216
chris,-20.686901,-5.575216
leftarm,-18.274992,0.24426414
fail,15.206544,-8.915798
send,-3.925524,-4.510303
field,2.9807315,-5.2065163
france,1.4334264,-17.897032
stage,9.638445,-8.912176
rio,18.515066,5.7476993
I,-0.0953441,7.2752156
security,7.7093296,17.430662
event,18.515953,2.166136
call,1.8909614,1.6113104
pace,-14.686077,0.5023811
use,2.1333115,1.5090897
begin,3.4625838,-4.3969336
ground,10.72216,1.7846049
turn,1.0312246,0.78460586
many,3.721964,4.432489
find,-0.7102388,0.5574719
odi,8.31107,-4.297799
double,5.415899,-12.330955
chief,6.305104,23.281343
expect,6.75857,1.1595936
name,-3.4581776,18.755041
even,1.9884641,2.3595655
football,11.50276,7.685984
saturday,2.9979413,-4.352552
championship,12.514698,-10.604425
late,2.5140605,-0.02027926
islamabad,-15.775394,7.423195
really,0.03958961,6.386275
serve,4.7690287,-13.841616
however,1.4056215,0.5121842
support,3.6356375,4.3143325
semifinal,7.3893266,-11.804698
euro,2.1190896,-17.64571
may,2.4108787,1.5864048
medium,4.99823,9.58627
david,-19.324821,-2.798231
pitch,-8.022985,1.8793247
people,2.56302,9.682312
complete,3.3083754,-3.8860822
grand,9.370033,-12.742506
already,2.1516862,0.6341984
around,6.869195,6.6540136
half,-0.8498412,-14.224935
winner,8.8652,-11.831641
major,8.534726,-10.11585
away,1.5399817,1.4074717
due,9.7104,16.94678
nine,-8.168541,-4.785693
fight,-4.4760537,12.161362
hard,-0.6984375,4.7320914
asia,15.009986,-3.0811458
form,5.456681,0.96530294
edge,-13.047325,-10.4456835
monday,0.801822,-4.556909
never,1.0846307,5.3405676
committee,11.98235,19.768715
decide,5.7215295,2.2303655
shahid,-18.279015,7.5435557
draw,4.0564737,-6.0350933
slam,9.566552,-12.755584
pick,-14.1515,-1.1118958
short,-12.171858,-9.701013
tuesday,8.858949,3.6129112
replace,-25.083708,-2.5109596
zimbabwe,1.6956382,-6.1704617
old,15.996543,-15.505054
smith,-21.373785,-1.9629953
shot,-6.649121,-15.431573
loss,5.8590593,-10.683419
wednesday,3.5809083,-5.4662714
president,0.9685667,18.03429
always,-0.6785614,7.083128
continue,3.2429042,0.2688941
boundary,-9.059613,-7.495073
tennis,13.401145,16.045343
woman,5.1532593,-8.234924
announce,9.030599,18.97571
allrounder,-17.264566,-0.51516485
fifth,3.5260997,-7.6003356
debut,5.4708667,-2.3275018
hour,-0.22905076,-7.2677407
hand,1.6348865,0.2742073
skipper,-14.377745,4.582027
anderson,-19.686125,-8.49599
level,4.0036697,0.7317743
drop,-0.4808785,0.3690628
real,-0.2839292,-21.38143
muhammad,-18.783087,11.067831
provide,2.1104171,1.3426518
session,-1.796283,-5.5841746
singh,-27.770018,2.403322
court,20.18697,14.526282
french,7.017911,-13.839693
march,12.691442,-2.101885
official,9.729103,20.650257
bairstow,-17.963432,-8.663733
result,2.633879,1.7029914
star,0.4609724,-2.1358187
messi,3.8467634,-21.286257
city,14.203446,4.737258
join,2.8174927,0.46318257
order,3.6948082,3.3681936
post,8.3602295,-21.218271
full,1.7911984,2.2508674
ronaldo,0.13789761,-20.718594
