word,x,y
<UNK>,-0.23031527,-0.42529187
say,-0.08372608,-0.29989552
first,-0.33208564,-0.5367443
test,-0.9419493,-0.29639027
team,-0.53351235,-0.39778063
match,-0.4421403,-0.36670864
cricket,-0.30999768,-0.4963427
england,-0.24596207,-0.45868066
pakistan,-0.79731965,-0.24604109
play,-0.18556164,-0.4309471
world,-0.4849451,-0.45219767
two,-0.74641323,-0.33121994
run,-0.3146864,-0.4159339
make,-0.10500481,-0.4993439
ball,-0.50729245,-0.29085702
take,-0.17170371,-0.513448
wicket,-0.35348043,-0.36060962
one,-0.75493073,-0.2659664
captain,0.46278614,-0.90710616
second,-0.66082644,-0.49134317
four,-0.351035,-0.40337592
last,-0.5300396,-0.44898596
three,-0.44652176,-0.5364729
player,-0.45864868,-0.5941665
win,0.02838337,-0.66380185
also,-0.32701406,-0.29183292
year,-0.5182829,-0.43448353
game,-0.46780378,-0.4991712
new,-0.5362195,-0.57999563
india,-0.6484966,-0.48158446
time,-0.4697961,-0.4741552
get,0.065949745,-0.5581652
international,-0.46609178,-0.24684455
six,-0.46597233,-0.41776258
series,-0.6521442,-0.6688364
go,-0.1359463,-0.31655437
score,-0.065817535,-0.36916342
final,-0.6380194,-0.54210424
would,-0.6078654,-0.3824289
day,-0.4724625,-0.6246124
come,-0.03771423,-0.50122
well,-0.45874327,-0.48564768
sri,-0.47672817,-0.5096519
australia,-0.74312454,-0.45105696
bowler,-0.67936695,-0.501859
good,-0.9045118,-0.49462402
side,-0.6089357,-0.6088205
start,-1.2997215,-0.5904863
back,-1.0196162,-0.49840638
lanka,-0.6205714,0.019897671
give,0.1470938,-0.15620394
south,-0.41736683,-0.98483044
twenty,-0.48405653,-0.60500556
mohammad,-0.37027752,-0.33006048
tournament,-0.93268913,-0.35528716
cup,-0.02322789,-0.48313013
zealand,-0.53918195,-0.40114617
five,-0.75526565,-0.7205799
lead,-0.19784823,-0.9176646
lose,0.52908415,-0.91426957
west,-0.5970673,-0.46871334
could,-0.32919088,-0.7552995
third,-0.65596855,-0.7715534
ali,-0.3115864,0.24753556
set,-0.50865924,-0.30331
see,-0.7206312,-0.7652873
khan,-0.18126082,-0.08042556
amir,-0.121172115,-0.87875986
not,-0.4051414,-0.71413743
th,-0.5480044,-0.7316976
bowl,-0.5808656,-0.34039783
innings,-0.39968655,-0.5145964
early,-1.1578121,-1.005613
yearold,-0.7465875,0.42497507
africa,-1.0960424,0.80914354
top,0.1981405,-0.65379226
end,-0.33663583,-0.27248725
batsman,0.076252006,-0.012100687
add,0.17487344,-0.2558429
bat,-0.37167808,-0.7293895
home,-0.11451705,-0.08380923
indie,-0.30737355,-0.2349251
tell,0.48675215,-0.20001918
open,-0.4149618,-0.5093098
leave,0.2272408,-0.26157117
over,-0.59205467,-0.58020586
champion,-0.45899862,-0.04909205
board,0.4270095,0.17894606
victory,0.03466469,-0.71733767
group,0.09782344,-0.4744114
coach,1.0786189,-1.2379396
league,-0.40348646,-0.357038
look,-0.39488906,0.15946968
former,-0.24131112,-0.4906997
since,-0.9300113,-0.5874722
united,-0.15873452,-0.20103313
catch,0.10684237,-0.932484
include,-1.748738,-1.9119433
next,-1.3294005,-0.056598272
follow,0.53092355,-0.39566743
return,0.7129004,-0.67333615
need,-0.5435323,-0.774311
tour,-0.22387837,-0.34358343
host,-0.43572018,-0.5668126
title,-0.5402706,-0.14204267
do,-0.75432104,-0.12593043
