word,x,y
<UNK>,0.0743939,2.6132967
say,-0.7589674,-0.51321334
first,0.10332274,-0.57840633
test,0.47528172,0.040420216
team,0.5809736,1.0392473
match,0.5949904,0.26627177
cricket,0.15641013,-0.42086864
england,0.44870278,0.15718485
pakistan,0.397801,0.3181223
play,0.100128554,-0.4969825
world,-0.026112458,-0.0029903164
two,0.414464,-0.6686344
run,0.240241,-0.16705774
make,-0.55488473,-0.70510197
ball,0.33562797,0.40609887
take,-0.13303828,-0.95451
wicket,0.27410352,0.5577363
one,0.3207338,-0.43058228
captain,-0.11612194,-1.1805645
second,0.25915143,-0.7455883
four,0.33870357,-0.29933557
last,0.15640529,-0.61506563
three,0.17699628,-0.6154143
player,0.65899426,0.38285097
win,-0.22744143,-0.31075507
also,0.29794443,0.2619983
year,0.4622236,0.19581302
game,0.77637875,0.19513169
new,0.7721183,-0.9545222
india,0.59184784,-0.058188654
time,0.5670241,0.099286616
get,0.012851567,-0.4299727
international,-0.004271966,0.23545143
six,0.22804372,-0.19088066
series,0.28738695,-0.18426576
go,-0.10162228,-0.314899
score,0.059057612,-0.447603
final,0.5513796,-0.36497462
would,0.5491679,-0.058212776
day,0.65472037,0.41757822
come,0.049198557,-0.48665592
well,0.27844048,-0.24524146
sri,1.1324918,-0.7405471
australia,0.46841276,0.19206247
bowler,0.7315931,0.37034386
good,0.30650806,-0.52426386
side,0.89267755,0.5847504
start,0.45556882,-0.18442261
back,0.42018014,-0.44017544
lanka,0.06554658,0.74076295
give,-0.27773333,-1.0024898
south,1.4924515,-2.49015
twenty,0.744808,-0.8092542
mohammad,0.2801718,-0.170283
tournament,0.78116935,0.01099798
cup,1.0198845,-0.6751253
zealand,1.3633505,1.3523071
five,0.3177756,-0.5908223
lead,-0.6189076,-1.2986022
lose,-0.5545396,-1.4191015
west,0.9016449,-0.6118543
could,0.862602,-0.16423683
third,-0.11805425,-0.77884984
ali,0.10993107,1.6214873
set,0.61657417,-0.025926443
see,0.5440135,-1.1450131
khan,0.019084066,0.7339811
amir,0.3533439,1.1686952
not,0.20280969,0.23184308
th,0.17683953,-0.75082856
bowl,0.375655,-0.610762
innings,0.7592807,0.7061123
early,0.8476952,-0.4048104
yearold,0.0024228534,1.070836
africa,0.12903954,1.7264335
top,0.46030715,-0.98790115
end,0.15024543,-0.93351585
batsman,0.28427124,0.13612781
add,-0.04638106,-2.271676
bat,0.549011,-0.1240538
home,0.47495815,-0.3121444
indie,2.5059533,0.83688873
tell,-1.0142568,-0.73145044
open,0.029571146,-1.1119314
leave,-0.6637177,-1.2302779
over,1.0868087,0.27781716
champion,1.1106932,-0.20237139
board,-0.031926867,0.7504549
victory,0.2670188,-0.12215829
group,0.23789226,0.21764353
coach,-0.007611922,-0.15596342
league,0.21966231,0.09685453
look,-0.065589905,-0.18245906
former,0.2911819,-0.7719668
since,0.7820311,-0.6359397
united,0.4627721,0.9908171
catch,-0.4382688,0.082223006
include,-0.25718856,-1.1039565
next,0.38050216,-1.0605139
follow,-0.002861104,-1.9331906
return,-0.05018553,-1.0368392
need,0.29982576,-0.2835026
tour,-0.039135873,-1.2957615
host,0.3612083,0.02658258
title,0.8981508,0.33040434
do,0.8671554,-0.14925812
goal,0.5029916,0.44034123
icc,0.074384734,0.24262564
place,1.6931573,-0.20991883
de,-1.3291923,-6.3165464
minute,0.8236846,0.2124414
help,0.13695085,-1.9013005
beat,-0.9480111,-1.1977704
hit,-0.9548798,0.26594955
fast,0.40918034,-1.8400185
month,1.8684636,0.4614856
stadium,-0.71951354,0.44311073
number,-0.0013822238,0.5163604
reach,-0.42637965,-0.58369
put,-0.55493546,-1.5553116
become,-0.16250266,0.04629741
sport,0.6628738,1.9680636
like,0.038161658,-0.25989133
great,0.28082225,-0.34052497
point,0.87332416,0.22686718
week,1.2877336,0.37309623
record,0.19534187,-0.7210036
bangladesh,0.89564335,0.0808921
