epoch,loss
1,6.884120035490383
2,5.485985572914336
3,4.859067895731834
4,4.416260202259989
5,4.066372035296668
6,3.7712103486481117
7,3.511156592978027
8,3.278499734207121
9,3.0667748151902474
10,2.8738521385468885
11,2.7019791223096448
12,2.5579744267148237
13,2.4287343044365697
14,2.3266175730151106
15,2.237045171405356
16,2.1602936401162833
17,2.099968789250758
18,2.0428989657502297
19,1.9926595751844662
20,1.9493199394065026
21,1.9117494382860505
22,1.878438442501885
23,1.8486603333005291
24,1.8207242366968792
25,1.7954890264814691
26,1.7732261879756825
27,1.749784334543633
28,1.7304920101243775
29,1.7150017971694878
30,1.6939166143130475
31,1.6843207716103625
32,1.6688769458845807
33,1.6594910810846133
34,1.6443008774854129
35,1.6335888277966173
36,1.6225689078951118
37,1.6157571203643573
38,1.6044877642423971
39,1.5975665973388653
40,1.586130131078099
41,1.5804900075251052
42,1.572861544238747
43,1.5643414672550655
44,1.556847759287842
45,1.550516240826857
46,1.5440640047491518
47,1.5392108104601765
48,1.53346035594634
49,1.5275817222921633
50,1.5202326653379914
51,1.5160029478049162
52,1.5127220673747364
53,1.5100164146577033
54,1.5020523895469695
55,1.497920095044087
56,1.4938819428327643
57,1.4925542005157029
58,1.4871262028607637
59,1.4827333426843259
60,1.4809786266556002
61,1.4782098820595753
62,1.4743592481128804
63,1.4710900576656227
64,1.467935697608242
65,1.4647393117299778
66,1.4633136882333597
67,1.4590062329505034
68,1.4581154928395812
69,1.4528406571444576
70,1.451567621626929
71,1.4481775667634902
72,1.4421959760261789
73,1.4448942066920114
74,1.4399255805835636
75,1.4385145100004644
76,1.4365412608327996
77,1.4334983349393162
78,1.4321128004295183
79,1.4291059971412885
80,1.42443995289609
81,1.4237991213571368
82,1.4224991818919843
83,1.4177808644086767
84,1.4188463448762396
85,1.4138637525240094
86,1.4139489287030622
87,1.4109043956559386
88,1.410482977659256
89,1.4083837187798292
90,1.4058961853429974
91,1.404739123621842
92,1.4034997302193541
93,1.4010360067644785
94,1.4021409968171514
95,1.3981767839145343
96,1.3989997569177206
97,1.3953296635944152
98,1.3933242643464303
99,1.3921215907537492
100,1.389905820403468
