word,x,y
<UNK>,-0.67576045,-1.2376336
say,-6.5233903,-2.705526
first,6.5203114,1.4613191
test,7.032537,3.857573
team,-3.5067039,-3.7016
match,8.287313,-0.75875777
cricket,-10.658982,-7.4282584
england,7.95902,3.3189733
pakistan,5.3137784,-0.48429558
play,1.7498534,0.37582678
world,6.0483956,-4.7753596
two,4.715241,5.6732984
run,6.6521783,9.11911
make,1.8457986,3.5327468
ball,4.3699703,9.15178
take,3.1548104,3.2319915
wicket,6.5510225,10.7433405
one,1.5089635,2.4068465
captain,-1.696637,16.324959
second,6.565293,0.743924
four,4.7267265,8.087747
last,4.880545,-2.5511818
three,5.0374703,5.9380407
player,-3.4260495,-2.2521784
win,7.033623,-3.3049016
also,-2.525521,-1.6974419
year,3.7419796,-2.560699
game,0.045987323,-0.5350811
new,5.5790396,3.405764
india,9.107442,0.6794681
time,-1.1345303,-0.33739492
get,-2.5797164,2.1959245
international,4.7564926,-0.90634763
six,4.2165504,8.24565
series,9.348467,3.0909767
go,-1.8878274,1.1069005
score,3.8086452,5.8318286
final,7.8438125,-3.7781577
would,-3.5193496,-0.75395936
day,6.985709,2.8279357
come,-0.53752965,-0.8642233
well,-2.4718618,1.1567059
sri,13.632453,12.586604
australia,7.960005,5.1442494
bowler,1.9724848,15.981356
good,-2.477201,1.7626578
side,4.3452888,0.840315
start,3.849437,2.1558592
back,-0.4652295,0.4854247
lanka,13.99792,13.208229
give,-1.1506121,-1.3369231
south,9.97938,5.4952474
twenty,13.52971,-3.5723202
mohammad,-7.311405,18.755274
tournament,6.5306234,-5.4182577
cup,7.5745516,-5.639856
zealand,11.99323,1.2325909
five,5.9902687,5.901585
lead,6.0794187,0.9888384
lose,7.6046534,-0.7394134
west,15.453378,4.277249
could,-1.0358964,-0.21596928
third,7.3373566,-0.20967473
ali,-13.200932,7.771832
set,6.3920965,-2.135308
see,0.20273344,0.10948788
khan,-7.8058896,17.160704
amir,-5.4367085,15.179136
not,-5.544431,1.0023751
th,4.4537044,-4.3423395
bowl,2.0150025,13.932852
innings,7.7690716,8.580313
early,3.5089,1.3091745
yearold,1.5417092,-1.1301155
africa,10.135849,5.7904754
top,3.52189,0.08374153
end,4.965289,1.1596817
batsman,3.1002543,11.713469
add,1.040086,4.3491993
bat,8.57265,7.221914
home,4.225757,1.14107
indie,15.336489,4.2044215
tell,-7.859921,-1.8358414
open,10.580334,-10.160983
leave,0.19404763,-0.98182887
over,7.107216,9.411677
champion,7.9742036,-13.397808
board,-13.351628,-8.433964
victory,8.092366,-2.3452744
group,8.960832,-5.77923
coach,-8.411653,6.402801
league,3.814956,-15.814669
look,-1.1325318,1.6832929
former,-7.3198566,4.1899157
since,3.7728708,-2.9119222
united,11.483324,-4.1684046
catch,1.1068738,12.098767
include,2.6632955,4.5520215
next,3.8600874,-1.543811
follow,4.624684,3.0888731
return,2.6764977,-0.38786137
need,-0.91000026,-0.24486119
tour,10.306034,2.1053512
host,8.554133,0.2495558
title,8.519164,-11.991311
do,-5.3401117,1.0345663
goal,1.8566226,-10.968564
icc,-14.9656725,-7.0787983
place,3.8617296,0.30266315
de,10.448262,19.481327
minute,1.4343768,-10.205859
help,5.804169,6.829536
beat,9.633237,-7.5781417
hit,4.019382,8.512579
fast,1.6147683,15.878431
month,4.324086,-1.5687182
stadium,15.390261,-2.1764257
number,8.133669,-13.002133
reach,5.536998,1.7328571
put,3.1159263,6.292877
become,4.7740536,1.0876775
sport,-10.138722,-4.3179126
like,-3.405657,1.0281512
great,-2.790262,-0.015496335
point,7.8809404,-4.996119
week,3.7037032,-1.2201637
record,7.7283006,-3.222279
bangladesh,12.08183,-1.2074233
national,-2.9001565,-4.2278633
face,0.9921785,-0.92913634
indian,1.9618375,-2.388055
defeat,8.188971,-6.3134227
hope,-1.5243251,1.0220286
seven,5.6428194,8.18811
think,-5.4043407,1.3330284
ban,-22.773567,-3.3146508
show,-1.911525,-0.9230421
want,-4.7327933,-0.07667379
work,-4.3976316,0.19267076
fourth,7.073754,0.8352316
eight,5.0876145,6.3854704
big,-1.0469344,0.28391612
man,0.6192212,2.3941016
hold,-0.39604247,-1.0742495
head,-4.3693027,-5.384076
we,-3.8763785,0.53957355
injury,2.8489437,-1.7660905
opener,6.3693037,9.255688
squad,4.8508368,2.5727792
know,-5.53677,0.22397687
olympic,-11.209036,-18.235262
bring,4.9826326,5.9426827
fall,3.51916,10.036139
country,-8.6450205,-4.490269
opening,6.431876,7.8847866
toss,8.732822,7.244337
break,13.666006,-14.796383
pcb,-14.358928,-8.942654
stand,7.9228506,10.660021
remain,4.6930523,7.2969546
chance,-0.68572205,2.5193691
high,-1.303991,-1.6914579
another,1.7011604,0.6064326
keep,-0.63632613,0.19047561
way,-2.7322183,0.9193484
target,10.940211,-0.91548634
cook,-1.3719696,13.69229
claim,4.6714377,14.146402
finish,5.045281,0.3547566
long,-2.7469437,-0.6130407
fan,-9.717484,-0.74399734
later,4.0525303,4.18396
still,0.29767966,3.1628213
club,-7.1923065,-8.768598
spinner,2.6066244,16.999378
sunday,6.392152,-4.2320766
century,7.7817025,7.6264234
bowling,1.4989731,13.832286
lot,-4.0845304,3.2982795
total,7.3013444,8.932478
friday,-12.757686,6.1652493
james,-0.037086293,15.108718
miss,2.6753802,-1.9434872
right,-2.0927231,-0.4407722
australian,12.730841,-11.863064
attack,-2.116001,7.7818894
oneday,9.760534,3.6781437
s,-4.675405,1.4743011
super,14.41127,-2.557224
unbeaten,8.174983,9.667507
batting,8.988793,6.1234136
million,1.5490516,-18.854187
strike,2.7345896,6.9038763
pakistans,6.797301,4.1307325
much,-1.4736875,-0.53120583
shah,1.200201,5.817312
report,-11.998235,-4.481529
feel,-4.283217,-0.31816927
change,1.2947158,3.7681372
delivery,1.7431089,10.790546
performance,-2.564543,-3.886732
afridi,-8.832167,20.459356
ahmed,-9.271428,19.102926
thursday,5.4584885,-3.0316033
round,10.9705515,-9.657323
dismiss,6.198257,10.553624
ahead,7.071919,-1.3290768
try,-1.6662856,1.6929659
season,4.122015,-14.083652
career,2.056197,-1.1478095
root,-0.9432075,15.108438
behind,1.1707377,-4.7305107
lord,11.278716,4.9840136
decision,-7.3450556,-2.9451106
chase,7.6851697,9.735678
part,-2.0006,-1.352098
move,1.7951435,1.2087449
close,3.1957157,1.0534017
chris,-0.3357742,16.473997
leftarm,2.1821475,16.9939
fail,4.391042,-1.1668094
send,0.6652476,-0.4897521
field,0.8082651,2.2048047
france,0.23207867,-12.969818
stage,8.853764,-5.687484
rio,-11.995843,-18.04193
I,-3.6218176,1.7145292
security,-15.376507,-12.023445
event,-6.428729,-4.397089
call,-15.871603,2.4502187
pace,1.7148172,16.736742
use,-2.2443047,-0.7948638
begin,7.647001,-0.13969235
ground,6.737951,-0.3039199
turn,-0.27747133,-1.1622022
many,-3.1260352,-1.9275024
find,-0.7654552,-1.0887953
odi,11.5386095,2.8522935
double,7.1339073,0.28789577
chief,-16.058634,-8.642888
expect,1.2132255,-1.9397291
name,-1.4017537,-2.9067774
even,-0.29213586,-1.0548915
football,-9.091799,-3.4756942
saturday,1.3703879,-1.8279935
championship,8.571129,-9.570573
late,10.719252,2.1146948
islamabad,16.746431,-1.3605669
really,-3.7715418,2.0649536
serve,0.041676532,-3.5122716
however,0.31411383,-0.8155473
support,-7.4061747,5.5520353
semifinal,8.506124,-5.506801
euro,7.0775175,-8.910358
may,-1.4659697,-1.0337546
medium,-11.962274,-4.499337
david,0.014595985,16.941465
pitch,1.1787816,2.468393
people,-7.507569,-0.73341036
complete,5.2183957,2.2534323
grand,9.473737,-14.178425
already,3.7566845,3.6913216
around,-0.38732743,-1.5114584
half,3.151177,-8.856529
winner,7.9651995,-11.094431
major,6.0575547,-4.030876
away,-0.58026385,1.1186633
due,2.2968159,-0.22443219
nine,7.4544015,10.139709
fight,-8.303089,2.786119
hard,-2.7063031,0.7109212
asia,15.368832,-3.968534
form,0.2115889,-1.4386269
edge,0.98782885,11.110785
monday,2.1959634,-0.4646918
never,-1.7690551,0.83059883
committee,-18.721626,-3.2621455
decide,4.9899817,-0.5395568
shahid,-8.41228,20.274443
draw,6.374474,0.6447764
slam,9.227705,-14.342105
pick,3.1204503,3.6575704
short,2.185914,10.098272
tuesday,5.5114784,-2.5578735
replace,0.7185689,16.537817
zimbabwe,10.232694,9.684362
old,5.5995207,0.67498046
smith,4.155665,18.538334
shot,1.0047786,-7.2247496
loss,11.554582,8.229699
wednesday,5.6625147,-1.7273698
president,-19.402586,0.08353414
always,-4.049105,1.4856222
continue,-1.9641476,-2.429521
boundary,4.676415,9.198542
tennis,8.470901,-15.421093
woman,15.022402,1.6800084
announce,-7.938859,-8.672791
allrounder,0.5665117,16.053337
fifth,7.074146,0.5824176
debut,7.2143564,6.435041
hour,6.5219984,-1.078796
hand,1.472405,3.2836554
skipper,5.757075,18.941738
anderson,0.34404415,15.03094
level,-0.10162746,-0.24687007
drop,13.692783,19.346773
real,-0.74079674,-14.942056
muhammad,-13.229447,7.4445195
provide,-2.1407428,-1.9532149
session,7.7926655,8.140914
singh,2.3415532,26.586323
court,2.9915185,-16.681524
french,8.59671,-10.74926
march,12.291702,-5.7069144
official,-16.30903,-5.466464
bairstow,-0.47246474,14.548089
result,-2.1344252,-0.17812678
star,-1.7971563,-2.9375744
messi,1.3919972,-16.394377
city,-5.296169,-13.427893
join,1.2388507,-1.3602507
order,-2.9504902,8.200012
post,0.21018185,-1.3833345
full,-2.5207102,-0.9149315
ronaldo,-0.96296734,-14.288839
king,-5.8652735,21.331839
though,0.2017335,-0.39206788
broad,-0.035750795,14.832404
condition,1.6515347,1.20144
pakistani,-3.6192896,-2.5433884
m,-3.4959197,1.9086986
receive,-24.216494,0.7413713
women,7.156714,-5.2847595
cricketer,-8.910608,-9.492619
thing,-4.247726,2.4455492
young,-5.355515,-17.12984
figure,2.6150532,7.3181033
partnership,7.8107243,10.771689
forward,0.92709816,-16.248741
past,2.9733522,2.6877697
argentina,5.829438,-9.526717
wahab,-7.649229,18.569279
without,-0.82057387,-0.45882916
mark,4.616261,3.499491
suffer,3.0621104,-1.9892515
williams,11.149408,-14.058367
kohli,4.3932133,15.51375
rule,0.3850268,-1.2565978
struggle,1.3909371,-0.0082546435
joe,-1.0403268,15.144136
ve,-3.8510964,2.2783535
london,-10.926805,-19.649178
wk,-1.9389158,16.715483
riaz,-7.6705933,18.512453
far,-0.28286263,-1.1051987
previous,5.353634,5.1074915
fifa,-20.28343,-0.4608227
karachi,-5.8179016,21.02223
manager,-3.8996356,-16.278471
manage,2.793521,6.126124
quick,0.45027688,8.821451
fine,1.0828131,2.897882
english,2.5328279,-0.30305308
dubai,16.45326,-2.0346556
believe,-5.6764293,-3.3697789
hafeez,-8.442737,19.29459
premier,3.8689501,-15.874373
pull,1.3101733,-0.5070755
rain,4.107869,2.1299012
force,-1.9826518,8.962188
member,-11.781674,-6.9457717
minister,-17.321041,-11.38208
knock,5.055866,7.7225747
wimbledon,10.102272,-13.421432
allow,-0.8812887,-0.88925874
recent,3.284417,-0.8326148
low,1.775525,6.7841964
chairman,-14.8969965,-9.482048
ask,-15.402095,8.35381
br,2.8074508,1.5876337
meet,0.19698612,-3.9735215
ireland,9.361008,-7.207433
leg,1.4661375,10.55811
appear,0.30097184,-1.2092748
seed,10.401119,-11.812531
clash,7.0307007,-5.9034085
june,3.8400843,-2.6917388
offer,-0.49642116,-1.0291938
mean,0.68851006,-1.0677649
quarterfinal,9.793647,-8.853421
afghanistan,10.9262905,-2.2889686
clear,-1.1075617,-0.9424711
lunch,8.676038,8.225015
lahore,16.729662,-1.3370835
association,-16.04351,-8.198496
crowd,3.412205,-3.9249783
little,-1.588281,0.19903648
format,5.3312526,-0.6031478
july,9.440399,2.8138542
portugal,-0.2984573,-16.040138
azhar,-6.454771,17.349867
mitchell,3.5901358,20.155
single,8.192352,-12.224292
alex,-0.99517775,15.236841
america,6.077708,-10.220224
action,0.9100853,-1.4534523
schedule,9.860566,0.3600393
family,-14.032195,5.112322
taylor,6.4245777,13.187279
opportunity,-1.0453153,-0.26200143
local,-7.5513616,1.3571738
british,-6.872293,-6.2347
council,-15.547934,-6.645499
stump,0.64824885,11.433205
rest,0.7289651,0.52847105
pressure,-5.6597104,2.8373346
yet,1.488942,4.321764
whose,13.327125,8.430484
athlete,-11.126919,-14.490535
position,-2.6489794,-1.956108
line,-0.6406936,-4.4270663
body,-19.544735,-0.5323894
manchester,-3.0258622,-15.665439
olympics,-11.316096,-18.189777
moment,-2.076643,-0.31693456
slip,1.0360173,12.97469
different,-3.6313782,-0.15253185
yasir,-6.6024103,15.807078
american,7.5557284,-9.388574
pacer,-3.8361087,16.651701
tough,1.2867991,0.34219468
penalty,2.2987018,-11.576476
rank,7.4936385,2.2734315
strong,-3.0308757,-3.2986925
venue,11.609243,1.3867314
along,1.056776,5.80558
sarfraz,-9.018886,19.16971
positive,-18.322332,8.914381
every,-3.244252,0.99508995
reporter,-3.6348078,-1.0270734
pair,4.9001923,2.1700654
paceman,1.173654,14.948837
step,-2.074003,-2.9303505
delhi,9.401382,0.77142197
barcelona,1.3862188,-15.756301
madrid,-0.6101846,-15.015437
pay,1.2926965,-18.874956
legspinner,-6.6007347,16.311565
several,-1.9562767,-2.4581084
sixth,6.394881,-1.2202328
bit,-2.7189677,2.5827916
despite,2.850678,0.48673892
important,-4.6285667,0.39967987
alastair,-1.5812255,13.848712
russian,-11.41235,-1.8173227
life,-7.860421,1.7626085
ago,12.866345,3.7953908
peshawar,16.812271,-1.3547314
misbahulhaq,-6.3305054,17.427135
straight,3.584674,-5.0740314
that,-4.685661,1.1700871
statement,-12.399035,-5.2178326
ben,-0.8039493,15.751311
government,-14.323016,-4.824782
confirm,-10.836526,-3.4776158
striker,-0.9490826,-11.059308
spot,1.6803681,-0.7181422
enjoy,-3.3976147,2.9545643
hundred,5.7874255,4.5104065
experience,-3.185333,-2.2138062
state,-12.085097,-4.0874114
competition,3.7132454,-3.788924
murray,10.886002,-12.961293
shoaib,-8.660652,19.635746
concern,-6.751707,-2.9642634
together,21.272778,-2.3805585
trophy,6.191554,-13.090495
drive,1.419659,9.728974
front,-0.3284449,-1.6610246
huge,13.84685,0.19015858
challenge,23.688717,3.51748
issue,-12.469688,-6.601482
dhoni,2.4806073,26.734505
defend,5.296498,-4.106804
history,14.307407,-6.988716
improve,-5.3260307,-1.2960432
talk,-21.641266,-10.3717985
role,-0.5781133,-1.1065781
job,-3.0262911,-0.52239144
prove,-2.3550673,-0.4205643
able,-0.42697346,1.3679408
happen,-3.6061785,-0.39637482
germany,1.2615644,-12.373357
darren,5.2835903,17.2688
something,-4.4923015,1.5223784
slow,4.442144,5.823674
wicketkeeper,1.1649984,12.590058
sign,17.14208,-5.7577734
nation,19.597496,-4.1863995
djokovic,8.250299,-13.022138
bcci,-15.481571,-7.488777
scoring,6.8022985,-2.747245
effort,-0.8556147,-1.3078631
european,-6.2153125,-15.150614
earn,2.0478845,-3.2058167
enough,24.443218,1.3768487
outside,0.107404806,0.08859797
daynight,12.670812,2.1475885
melbourne,10.570505,0.2612967
across,-0.9959936,-3.686021
african,11.500096,18.398651
twice,5.7701554,0.6125592
share,3.5863385,3.9321454
news,-20.676422,-11.035976
among,-7.2706776,2.666536
elect,8.747327,7.153773
feature,4.0977173,3.8174634
police,-11.067126,-0.7546535
hasan,-4.775935,23.034332
save,0.32372236,-7.9784913
malik,-8.033964,19.739412
stuart,-0.13478279,14.942575
he,-3.8506124,1.9021561
meeting,-11.567614,-7.558422
successive,5.2868204,5.316511
ensure,2.7976985,3.6989884
akmal,-8.593131,20.32782
brazil,-16.582842,0.40017998
iqbal,-6.0763907,23.66144
st,17.99413,3.1507907
psl,15.292579,-2.6203277
maiden,6.759984,5.283633
van,-11.615665,23.850054
difficult,-5.226628,1.2689285
foot,-0.17734995,0.3100026
opponent,1.6933169,-1.7724057
domestic,-9.104264,-5.0622745
zalmi,16.876232,-1.27535
consider,-9.618815,-5.0780888
award,-6.4610777,4.9695325
medal,-10.657617,-18.852869
success,-2.8833303,-3.0843172
partner,3.9770803,5.173403
key,12.199727,3.6921754
training,-15.814552,-17.479837
plan,-2.2966042,-0.1767073
copa,6.332622,-9.733805
seamer,2.3642004,15.808125
middle,11.677229,11.029586
today,-2.9396753,0.17288211
soon,2.8916225,8.069679
moeen,-0.8904806,15.501294
williamson,4.8612003,21.117785
lift,2.629342,4.35939
rival,6.718179,-4.540889
successful,1.7983311,-3.9619558
hales,-0.9881241,15.045592
sami,-6.9904485,18.756569
case,-6.6370273,-2.6550403
bravo,5.6680503,17.316969
might,14.0558815,8.198988
injure,-2.367266,-7.2324133
seek,19.239153,-2.8551702
fifty,5.046111,11.370282
almost,0.80070937,0.85563785
campaign,6.6923466,-1.8949796
quetta,17.434639,-1.1990732
gladiator,17.497244,-1.1361804
kolkata,13.348949,-1.6793475
misbah,-7.813611,13.74141
selector,-16.53801,-9.853141
pass,-0.76185095,-5.8881707
carry,-9.5258,3.2161758
control,16.303633,8.803542
visitor,13.092039,12.146659
push,0.3641195,-1.1299741
soccer,-20.293093,-0.43294182
happy,-1.470562,-1.1961303
term,-22.904531,0.075023435
andre,5.7076116,17.595686
recover,3.426435,-1.8829932
wale,-2.9343235,-3.854681
stronglondon,-7.2799644,4.3761554
federation,-18.733198,-5.1627636
states,5.6422396,-9.515884
impressive,6.2905583,2.1972818
stay,-1.8756785,-2.5704129
race,19.708183,7.0036006
ever,18.11021,-6.8706393
cross,-0.10630853,-9.819581
gold,-10.395859,-18.781431
easy,7.011608,-3.1640444
attempt,0.9602699,-0.7104358
woake,-0.3532763,14.509022
midfielder,-2.1842344,-12.948341
samuel,5.578115,17.47253
morning,9.038088,6.863343
warner,3.029967,18.065432
rise,17.112007,0.1665781
battle,0.80912364,-0.337938
compete,-11.253514,-16.765373
restrict,10.282512,13.400879
gayle,5.1267543,17.559803
remove,2.049593,12.56197
perform,17.74619,-5.8659706
spain,4.7364163,-8.362106
accord,-13.692031,-4.285013
herath,13.941522,15.585839
shane,4.157375,16.508999
november,10.551702,2.3306396
mathews,14.806139,15.243291
contest,8.443965,-3.1032424
seventh,7.092737,0.7512742
eden,13.349771,-1.7341778
park,6.572269,-1.3230785
night,18.532969,-5.105042
vince,-0.6449581,15.224105
umar,-8.497003,20.108152
likely,1.2451326,0.044440944
scorer,3.7787004,5.9495187
jonny,-0.56738144,14.716021
focus,-5.4032674,-22.460619
future,-6.1258326,-3.0715928
capture,2.6200078,15.497048
problem,-0.24902542,-0.7672957
knee,3.1700335,-1.9946599
womens,15.23031,1.5376933
adam,3.5290108,20.33533
fitness,0.8618578,0.44080362
resume,6.9599147,2.8206282
boxing,3.2505875,-20.54681
ranking,12.110233,-5.1356072
tea,9.114,8.702025
amla,9.943575,19.17788
produce,6.0586996,1.314903
wide,1.6247169,8.121594
steven,0.3414601,16.018064
lbw,-1.4790205,13.150862
watch,-3.2014794,-1.571658
chandimal,14.5985775,15.373525
offspinner,2.2201133,16.71171
consecutive,10.183827,-4.954126
charge,20.225887,8.0652
mumbai,5.695406,-0.47676492
opt,3.935741,1.1567785
indias,-0.007697907,5.32713
ten,13.6881895,-3.4116843
sammy,5.2642207,17.305601
uae,-3.30221,21.617172
prepare,-8.257731,-7.5531487
fourmatch,10.016734,3.7841249
executive,-15.707884,-8.2892475
declare,10.626695,6.8410387
brathwaite,5.094695,16.133755
cut,-0.17580615,1.5829601
can,-5.600224,0.9220217
virat,2.2543657,25.458849
couple,-0.12021298,2.462065
suspend,-22.388643,-2.5510597
umpire,-13.0286665,12.448171
light,7.223274,-0.44701877
speak,-6.9985723,2.7957683
retire,4.1147175,-2.4503956
achieve,1.9730109,3.6072998
watson,1.116047,19.114746
marsh,3.3414361,19.703152
mccullum,4.5896564,21.023142
villier,10.511549,19.454197
present,-4.247483,-4.4345717
january,12.378733,-5.9454856
service,-14.648441,3.7847772
power,18.598606,-0.42098162
age,-12.439527,4.3597665
sohail,-6.364951,19.456274
average,6.8560486,4.6401305
steve,3.7823942,18.590767
secure,6.604449,5.609888
games,-11.371056,-17.70961
main,1.35576,2.7899115
love,-7.3409843,1.0715865
kock,9.762293,19.333359
lankas,13.19155,12.688236
reduce,6.6967535,2.367249
salman,-25.564798,-0.24659993
butt,-25.689505,-0.34252146
arrive,13.407864,-5.46808
paris,4.497223,-16.612942
contract,-2.8974814,-17.74404
fire,0.077108,-8.732509
b,-8.721274,16.40329
nathan,3.148195,20.194645
list,5.506328,-15.37447
grab,4.562198,5.8286886
seem,-0.18563074,-0.056055874
display,19.584831,3.7455459
press,-20.638996,-10.992488
public,-15.076569,3.7475579
april,-10.027695,-10.240803
period,19.04204,13.721721
sharapova,9.427066,-17.792833
fit,2.058668,-2.302231
camp,-8.677069,-7.598686
ashwin,1.3520426,26.90612
nawaz,-6.2715836,19.90543
shehzad,-9.590044,19.313013
qalandar,17.327017,-1.5297991
spin,-1.9463134,7.9693575
jason,-1.1569726,15.684641
tourist,8.736042,1.410698
inning,4.1534247,9.173454
spell,3.131688,5.0878334
special,-2.8325825,0.2104559
angelo,14.863338,15.308243
possible,-6.253436,-2.78022
countrys,1.7137526,-2.1067915
asif,-25.842941,-0.21701661
bid,4.8012066,-3.8242133
selection,-14.261569,-6.9669375
stop,-6.8435655,0.66288114
whether,-3.8066628,-1.1217886
represent,-9.780719,-7.069104
roy,-1.1688309,15.34102
upcoming,-10.190969,-9.193523
stoke,7.2247863,5.7042294
smash,4.5041256,8.67303
within,-0.42317584,-1.3903548
bad,-1.2795681,0.8439424
youni,-6.9912276,16.405174
track,21.662954,7.6557717
imran,-6.491863,16.77162
trafford,8.65749,4.488639
eighth,4.495543,5.853087
deep,2.1370823,11.289038
situation,-5.293142,-1.6939539
poor,13.303773,-4.2722545
favourite,10.504736,-7.5767636
conference,-21.496717,-11.164361
deal,1.2302958,-18.872107
defence,-0.12183156,-2.273825
asian,7.7164073,-7.3455515
talent,-5.608466,-4.4608583
finally,2.6314878,0.6252588
professional,-10.315148,-14.064001
either,12.942997,-6.9874105
perera,14.37254,15.601232
ipl,18.131191,-5.3308277
wasim,-7.1273727,18.864832
holder,6.2942677,18.262611
fiveyear,-24.511087,-1.6390187
playing,10.986335,-4.9151325
sharma,2.0970232,25.54351
hale,-0.41401735,13.589161
leader,21.473074,5.204058
goalkeeper,-0.64306456,-9.940226
source,-14.381428,-4.536021
wear,-2.225058,11.022101
somerset,9.302834,4.298647
anwar,-7.177695,18.774347
spend,0.92881733,1.3076997
stokes,-0.45573452,15.429784
reuter,7.8095393,-0.48749894
usman,3.3189597,18.693977
visit,-15.657265,-11.613391
sure,-4.780124,0.09263245
federer,10.380449,-13.879246
waqar,-8.595021,6.4886703
us,-5.353389,-5.5997925
throw,-6.3135695,-0.039119355
august,10.010909,1.3985716
less,15.165631,6.7058606
shoot,0.07778634,-9.874455
dhaka,12.644486,-3.0801125
adil,-0.6599639,16.81246
chile,5.653396,-9.792457
everything,-3.4971964,-0.8438619
concede,4.9711947,0.46240288
free,-2.6522758,-1.0040437
cover,-0.70370626,4.5774426
probably,-3.7915487,-0.8295848
lack,-5.142128,-2.9968302
net,-0.96413606,-0.7046784
comment,-18.34333,-15.936733
men,6.5527773,-5.471322
dharamsala,12.634431,-1.7055548
defender,-0.71844256,-11.528278
drug,-22.981064,-4.188104
triumph,10.665806,-8.200731
du,9.941446,18.97085
reason,-6.633344,-2.4197426
appearance,5.277564,4.9096894
kane,4.8658714,21.252445
choose,8.295542,-0.6670887
al,-4.8393974,23.084425
must,-3.5077095,-1.2247486
ready,-4.2021675,-0.17546579
practice,-3.1961896,-1.2459394
shakib,-4.702443,23.330435
nadal,8.216299,-12.583042
sharjeel,-7.2654366,19.958885
rashid,-0.73864657,16.438553
irfan,-6.959295,19.032295
cap,5.7155232,4.4808774
town,12.324047,7.6295643
appeal,-20.811985,-1.6640018
arthur,-8.323409,6.3013377
threat,-8.434853,-1.1840062
threaten,0.79439336,-3.1969981
guptill,4.730057,21.149437
blow,11.884895,9.398293
secretary,-19.691122,0.62362427
martin,4.68742,21.220201
fellow,-4.6633997,13.398825
rohit,2.1454935,25.640806
russell,5.7036405,17.624395
pink,-1.1036657,6.439223
threematch,10.422819,3.8757179
raise,0.20939344,-1.9361935
wait,-1.356519,0.6366868
swiss,10.68915,-16.69794
odis,11.60709,2.5544853
indies,15.353292,4.333928
qualify,11.026798,-2.9497242
involve,-1.3805419,-1.9855988
kick,1.7558991,-11.233442
nd,19.325153,3.949801
buttler,-1.0412639,15.690349
write,-1.6572812,-1.8171723
shahzad,-7.12934,18.421896
lyon,3.1138718,19.872349
sweep,3.5411808,6.2230453
train,-9.044131,-1.1989286
reply,7.5840764,8.460739
ab,9.887612,19.7013
review,-5.7539983,7.7473354
carlos,5.29493,17.218384
quite,-2.3867142,3.928509
haul,6.7620425,5.16376
clinch,8.454643,-3.97093
dhawan,2.089954,25.887121
recently,6.061994,3.451573
