word,x,y
<UNK>,1.126339,-0.4323177
say,-9.990239,-0.9810039
first,4.6718254,9.846512
test,2.446134,12.062437
team,0.4444794,4.4043517
match,3.6908243,9.754218
cricket,-13.788221,7.026108
england,1.1398437,11.494085
pakistan,-6.713977,11.139228
play,-2.3433497,4.6665773
world,-4.5577226,11.074198
two,9.765473,10.61091
run,8.293953,9.852623
make,3.9889722,3.896489
ball,12.153432,10.950447
take,10.9659195,12.595304
wicket,9.80967,12.978931
one,1.2741507,1.080273
captain,7.8516254,23.161297
second,6.1880603,9.337097
four,10.559413,11.306866
last,7.59144,-0.64142114
three,10.713222,11.008779
player,-0.27264273,4.100429
win,3.8549159,7.545444
also,1.2569101,3.7187588
year,2.6498306,5.6157155
game,1.9864368,2.3531647
new,1.9152427,9.4641485
india,-1.8939421,11.213452
time,3.5529602,-0.0606433
get,-2.1994126,2.3320541
international,-4.387131,12.55925
six,10.660709,10.480288
series,1.6307476,12.488759
go,-2.305882,2.4481688
score,10.933823,9.639857
final,8.797087,-0.056723054
would,-8.886555,1.4320544
day,6.0564103,5.136916
come,0.69507426,-0.27779016
well,-2.9082835,3.525752
sri,4.2845097,13.824753
australia,3.400803,8.806921
bowler,12.286432,17.458109
good,-1.1585692,3.3143265
side,1.4293066,9.401544
start,4.5449057,6.3568325
back,2.9345667,0.044643216
lanka,4.850122,15.149501
give,0.67348164,-0.27326572
south,6.2013755,14.200371
twenty,-1.8618709,12.519313
mohammad,6.8288317,26.304977
tournament,0.7006244,-1.9420546
cup,-4.783917,11.837403
zealand,6.130997,11.952862
five,9.180768,10.925897
lead,4.033422,5.913001
lose,4.3963656,9.466969
west,-2.2357466,18.96735
could,-1.8355972,-1.2218345
third,6.5521245,9.784385
ali,7.181877,27.354515
set,5.3400593,6.509047
see,-0.14431413,0.54969174
khan,6.7703853,26.616468
amir,3.3881645,24.710133
not,-5.8240323,3.6814888
th,6.1643863,-0.11681797
bowl,7.6458464,18.832806
innings,8.381365,10.574961
early,5.8863397,4.4422746
yearold,1.2626997,-0.34932598
africa,3.8966608,17.049387
top,2.4949007,7.3148
end,11.180315,2.7326066
batsman,4.7097354,9.635431
add,6.5828443,7.7556186
bat,1.6327744,19.392838
home,0.6090695,8.792954
indie,-2.9622476,17.924809
tell,-10.235068,-1.4551605
open,10.678224,0.05404253
leave,15.427027,-6.3883986
over,9.982427,12.279772
champion,8.438356,-1.0850474
board,-14.823387,6.381282
victory,5.6316786,8.165079
group,-14.383504,-12.2400255
coach,-16.748648,11.349451
league,-7.9367023,11.048403
look,-0.78075933,0.5844605
former,-13.078059,12.024726
since,2.5968893,5.632576
united,8.882151,-14.719542
catch,16.162376,10.697663
include,6.9092054,6.3634596
next,-3.4425695,6.3111353
follow,1.8805962,0.001977047
return,0.97790873,9.118536
need,4.8148956,3.9398606
tour,1.6503392,10.74365
host,4.589031,5.062716
title,8.321827,-1.6653738
do,-5.10932,2.2935293
goal,11.268685,-9.678847
icc,-13.73471,9.08518
place,1.4627696,5.964041
de,11.693396,19.686802
minute,13.266681,-9.210202
help,0.9237606,0.66976917
beat,6.072346,-0.48227966
hit,15.858426,9.373457
fast,11.839682,22.37386
month,-17.833832,-5.00227
stadium,-8.114582,13.486843
number,7.804023,0.28899604
reach,4.786083,10.032713
put,8.4821,2.1320384
become,3.331522,4.6081653
sport,-15.526711,-1.4275687
like,-5.236045,0.4374594
great,-9.6386795,-2.001232
point,-8.320409,-20.97281
week,-0.15235534,-1.9707088
record,3.6187005,4.786664
bangladesh,-2.827093,12.320794
national,-11.908307,7.621986
face,1.7192744,-0.6082049
indian,-8.46682,10.550996
defeat,2.996389,9.63683
hope,-4.427048,-0.2704617
seven,9.860024,10.8386965
think,-5.7501345,2.3777814
ban,-18.93572,-3.6142275
show,10.942141,-20.779545
want,-6.5508146,3.2647557
work,-3.6250842,0.49847013
fourth,6.538431,9.808267
eight,3.645117,10.4347725
big,-0.22920884,-5.0256166
man,0.6323566,3.6014197
hold,2.2295566,-2.5034778
head,8.191978,-14.937913
we,-2.2602801,2.388259
injury,-2.3876784,6.929683
opener,12.527881,9.508251
squad,-0.14482045,7.9197216
know,-5.1117706,1.2322054
olympic,-11.741963,-8.275262
bring,0.90311027,-0.63047165
fall,11.066471,6.3198614
country,-7.3560085,-5.3144894
opening,10.34418,3.2507143
toss,1.7844881,19.574762
break,13.385317,2.068575
pcb,-15.964213,5.816238
stand,14.01163,6.2050133
remain,2.113621,3.1804924
chance,6.3029165,-8.112138
high,2.3479593,-1.1050112
another,0.908138,0.48274592
keep,3.8958566,1.3539263
way,-3.9554214,2.4185932
target,6.6141925,8.806371
cook,17.074697,19.3731
claim,9.1254,15.691556
finish,16.087406,-5.761461
long,6.0912333,-7.237092
fan,-12.787632,-14.281769
later,3.8049946,-1.0299735
still,-2.0221972,4.303866
club,-5.7557197,-5.4764514
spinner,12.852685,22.499018
sunday,-12.311631,-11.8399105
century,5.1791987,13.076424
bowling,12.604635,17.077896
lot,-4.590282,1.1877419
total,5.782932,8.284254
friday,-7.535335,-6.679601
james,16.166899,18.565527
miss,2.82127,0.47796947
right,-3.5978222,-0.69474185
australian,5.6940913,-0.9681818
attack,10.904373,16.56219
oneday,-0.7492892,13.169197
s,-5.0639105,1.8753047
super,-7.5942845,11.596303
unbeaten,14.695744,9.1970415
batting,0.20086993,7.6993537
million,-4.700025,-21.802841
strike,14.538829,-6.3232265
pakistans,2.645012,15.373768
much,-4.8440895,0.16196755
shah,1.3614296,28.466856
report,-12.432101,-3.3734927
feel,-9.47572,-0.7249872
change,-1.2241923,4.850742
delivery,16.177725,12.014048
performance,-5.9132576,-0.82274914
afridi,6.9496794,23.342173
ahmed,6.8347006,26.666046
thursday,-11.731318,-15.228388
round,7.242956,-2.9668362
dismiss,16.66446,17.255474
ahead,-19.245571,-13.753555
try,0.39867035,-0.41702676
season,2.3136349,-1.5214626
career,6.519378,0.78495
root,16.97728,19.575697
behind,13.68271,3.026176
lord,2.1993423,11.885534
decision,-11.523879,3.206982
chase,9.085288,8.816988
part,8.608388,19.89684
move,4.710278,2.5655324
close,7.6319413,1.3394457
chris,16.043022,19.896948
leftarm,11.953751,23.15402
fail,2.7752,0.79088473
send,9.064315,-5.6147685
field,-7.8542657,-7.5116534
france,9.608541,-6.3651037
stage,-5.224726,-18.798319
