epoch,loss
1,6.96968799901461
2,4.797043925664286
3,3.850541659646366
4,3.370834591472334
5,3.098396458181586
6,2.9257290912401133
7,2.806105516161159
8,2.7233107593842387
9,2.6526841601124436
10,2.602195006804332
11,2.5603707250745353
12,2.5249733117341036
13,2.495410396354921
14,2.4687814170290094
15,2.4492200020060175
16,2.4378147869016877
17,2.423133808556064
18,2.399092141206817
19,2.397495202664468
20,2.381906578292649
21,2.3647626806361157
22,2.362924282409598
23,2.3582259452911956
24,2.3517449813166045
25,2.344195889288698
26,2.3296666782844198
27,2.3274149240057245
28,2.328457436457388
29,2.3253578342467356
30,2.320118914396342
31,2.3196994033334173
32,2.3200411054168097
33,2.3147796547364887
34,2.2985829975908003
35,2.308925153264511
36,2.296168945108494
37,2.2992997659630583
38,2.2978633614090955
39,2.2939655470944054
40,2.298229332145704
41,2.291759377104445
42,2.2943198513271756
43,2.2838123633026597
44,2.284815568496195
45,2.284026872981479
46,2.2992687731929866
47,2.2852933829100808
48,2.2754337004096157
49,2.297679165165064
50,2.2826922931775337
