word,x,y
<UNK>,-0.49093318,1.1191926
say,-4.7749467,4.152243
first,0.86049813,-3.32544
test,-1.2445889,-4.5849466
team,-3.3161557,0.34685072
match,-0.86179066,-2.6640887
cricket,-7.3101234,-1.1140506
england,0.5976937,-5.0967975
pakistan,-6.418278,-3.0864472
play,-2.5776424,-0.9515911
world,-0.31057534,1.818138
two,1.3377388,-2.4168794
run,3.1341398,-9.804625
make,-1.0607834,0.15157269
ball,3.337212,-8.804003
take,0.024517613,-0.66825753
wicket,2.6067696,-9.477104
one,0.68486875,-0.38927263
captain,0.25261268,-8.272526
second,2.839425,-4.43274
four,2.4557533,-9.410036
last,0.49487707,-1.359581
three,2.3920062,-8.459462
player,-2.5848129,3.0193334
win,-0.05125868,-1.3966898
also,-2.3175762,-0.117832504
year,-0.8580349,2.414382
game,-0.6609258,1.3573773
new,-0.85518056,-3.422599
india,-6.264849,-2.3942447
time,0.11932956,2.7184868
get,-2.3443828,1.2156719
international,-3.6221936,-3.1133907
six,2.5000505,-9.964969
series,-1.1765504,-5.4369264
go,-3.1011257,2.053072
score,2.4454677,-9.111775
final,2.4978886,1.1801561
would,-4.8548427,1.5754765
day,2.0806391,-4.727359
come,-1.0025743,1.0340811
well,-3.2235947,1.9167274
sri,-0.59728676,-6.36898
australia,-1.4934132,-6.1356654
bowler,1.473558,-8.378264
good,-3.9349618,1.1791215
side,0.100116014,-2.3304517
start,-0.24001159,-1.533152
back,-0.43116194,0.062112488
lanka,-1.6857816,-6.715575
give,-0.34790987,-0.28826982
south,0.22541647,-6.5659847
twenty,-4.9592166,-7.28701
mohammad,1.6249325,-17.153208
tournament,0.08062418,0.8587383
cup,-5.6062336,-1.7605735
zealand,-2.052967,-5.5016804
five,2.060729,-9.983436
lead,1.3534238,-0.4736427
lose,1.2263598,-3.041293
west,-0.8758254,-8.5722475
could,-1.562302,0.8539364
third,1.9239382,-3.6419435
ali,1.6661807,-15.453651
set,2.584114,-0.11456081
see,-1.0096887,1.1344218
khan,0.5423666,-16.208038
amir,-6.0588317,-4.855904
not,-5.8095746,3.0299487
th,1.7148097,-1.3400527
bowl,3.5792055,-7.5166793
innings,2.813055,-7.3411155
early,1.5671105,-3.776656
yearold,0.7939905,0.22319269
africa,0.9487466,-7.270605
top,-0.44689974,-0.5555337
end,1.6704146,-0.77095854
batsman,1.7383207,-9.180034
add,-1.0900484,-0.3147943
bat,-3.0637312,-7.256515
home,-0.51093197,0.77920336
indie,-1.3286047,-8.238747
tell,-4.266037,3.5528896
open,5.3741436,2.340235
leave,2.0248935,-0.42296642
over,2.9822538,-10.05686
champion,4.197951,3.1621006
board,-8.903542,-0.5204735
victory,1.4605418,-1.3644401
group,-1.9436009,-2.2868524
coach,-4.5138183,0.90937114
league,3.0443437,8.346648
look,-2.1576586,1.3916996
former,-1.4878459,1.9941993
since,1.0075045,-0.9644774
united,0.22233754,3.7710721
catch,4.7184243,-8.008877
include,-1.345171,-0.19464947
next,-1.3777639,-0.90091366
follow,1.2887964,-0.42406607
return,-0.043304402,-3.4491508
need,-3.8411088,1.3015327
tour,-4.567223,-3.5497448
host,-0.5083353,-3.946703
title,5.2256947,2.6991339
do,-4.8102326,2.7953508
goal,8.075821,8.253415
icc,-8.744163,-0.36721566
place,-0.3303932,-0.09146357
de,6.609958,-10.083731
minute,8.850755,7.6836967
help,-0.73962826,0.020212665
beat,5.29325,1.86301
hit,2.2054775,-10.149175
fast,0.91547203,-7.820146
month,-2.3602712,0.13933381
stadium,-5.1826396,-8.460032
number,4.6065784,1.7762856
reach,2.8763678,-2.452274
put,-0.099363886,-0.458786
become,-0.2972645,1.4040976
sport,-5.0479074,7.924354
like,-3.9768453,2.5653055
great,-0.19027804,10.560623
point,3.7680101,0.308002
week,-1.8902148,2.5280995
record,0.83230704,0.90904063
bangladesh,-4.874958,-6.675079
national,-6.5286603,0.20151745
face,1.5923157,1.165714
indian,-4.887245,-1.4863158
defeat,0.28460404,-2.0358543
hope,-0.35954982,1.581559
seven,1.8967423,-9.638955
think,-5.2123375,2.794341
ban,-11.618379,8.02498
show,-1.773923,0.95769554
want,-4.958955,2.2092624
work,-4.2186546,2.9509587
fourth,2.7071238,-2.8273737
eight,1.4183861,-3.274776
big,-2.0199652,1.6460546
man,-1.2472223,0.53110635
hold,0.8331749,0.26731986
head,-1.2744906,2.1902146
we,-4.797205,2.706651
injury,1.1725345,-0.91904294
opener,2.7707865,-8.542685
squad,-3.9121554,-2.1863232
know,-4.247454,2.9101353
olympic,-5.020407,11.166621
bring,0.17996243,-11.138037
fall,3.4489892,-7.9636426
country,-0.8599723,1.75523
opening,3.9240108,-3.8967555
toss,-4.986437,-8.765952
break,4.047965,1.9325511
pcb,-9.934397,-1.4425479
stand,3.6189613,-5.789365
remain,1.1264358,-10.3774
chance,1.3670346,1.172398
high,-0.9558633,2.237669
another,1.7242589,-0.3382605
keep,-2.1766548,0.8350839
way,-1.6416473,0.208537
target,-3.7081575,-7.8673053
cook,6.4956675,-7.540001
claim,2.7120712,-11.840808
finish,1.6988603,-1.1751097
long,-2.3537881,2.0416238
fan,-0.59781265,7.907237
later,0.4514648,0.5806414
still,-3.4593723,1.8833094
club,3.1929533,8.910699
spinner,0.13092086,-11.569596
sunday,-1.6322389,-1.9136276
century,2.6013932,-7.781668
bowling,-0.27906492,-8.00795
lot,-4.8339405,2.5383887
total,2.1196249,-7.1973934
friday,-0.6348922,2.6616323
james,5.1477284,-7.800978
miss,1.4669902,-0.9272218
right,-2.1376894,2.5777845
australian,3.9890566,1.4574088
attack,-0.0037616862,0.2047647
oneday,-0.6081004,-4.537999
s,-4.9061804,2.9162467
super,-5.2882977,-9.163473
unbeaten,3.4273577,-9.372074
